0.9,1.0661,-1.5152,0.28798,0.47997,-1.7849
0.91,1.0558,-1.5032,0.28798,0.47997,-1.797
0.92,1.0454,-1.4912,0.28798,0.47997,-1.8092
0.93,1.0349,-1.4791,0.28798,0.47997,-1.8213
0.94,1.0244,-1.4668,0.28798,0.47997,-1.8335
0.95,1.0138,-1.4545,0.28798,0.47997,-1.8457
0.96,1.003,-1.442,0.28798,0.47997,-1.8579
0.97,0.99222,-1.4295,0.28798,0.47997,-1.8701
0.98,0.98131,-1.4168,0.28798,0.47997,-1.8823
0.99,0.97031,-1.404,0.28798,0.47997,-1.8945
1,0.95921,-1.3912,0.28798,0.47997,-1.9068
