1.8933,-2.0934,-0.087266,0.2618,-0.49802,-0.5236,-1.0462,-0.087266,0.2618,-1.0728,NaN,NaN,NaN,NaN
1.9022,-2.0803,-0.087266,0.21817,-0.47647,-0.5236,-1.0331,-0.087266,0.21817,-1.0943,-0.54544,0.05685,0.30019,-0.36383
1.9092,-2.0654,-0.087266,0.17453,-0.45471,-0.5236,-1.0182,-0.087266,0.17453,-1.1161,-0.61801,0.12598,0.50259,-0.38637
-1.6608,2.0513,-0.087266,0.1309,-0.95769,-0.5236,3.0985,-0.087266,0.1309,-0.61311,-0.99533,-0.33166,0.14059,0.82742
-1.6638,2.0749,-0.087266,0.087266,-0.93471,-0.5236,3.1221,-0.087266,0.087266,-0.63608,0.64215,1.0796,1.1998,-0.59691
-1.6648,2.0968,-0.087266,0.043633,-0.91198,-0.5236,3.144,-0.087266,0.043633,-0.65881,0.73938,1.1617,1.2377,-0.7679
-1.6638,2.1169,-0.087266,0,-0.8895,-0.5236,3.1641,-0.087266,0,-0.6813,0.72951,1.1494,1.2229,-0.76635
-1.6607,2.1353,-0.087266,-0.043633,-0.86727,-0.5236,3.1825,-0.087266,-0.043633,-0.70353,0.73503,1.16,1.2388,-0.77508
-1.6556,2.1519,-0.087266,-0.087266,-0.84527,-0.5236,3.1991,-0.087266,-0.087266,-0.72552,0.73066,1.1509,1.226,-0.78011
-1.6486,2.1667,-0.087266,-0.1309,-0.82351,-0.5236,3.2139,-0.087266,-0.1309,-0.74728,0.72916,1.149,1.2214,-0.7829
-1.6396,2.1797,-0.087266,-0.17453,-0.80198,-0.5236,3.2269,-0.087266,-0.17453,-0.76882,0.72596,1.1588,1.2485,-0.77114
-1.6286,2.1911,-0.087266,-0.21817,-0.78065,-0.5236,3.2383,-0.087266,-0.21817,-0.79015,0.709,1.1313,1.2102,-0.76487
-1.6157,2.2007,-0.087266,-0.2618,-0.75951,-0.5236,3.2479,-0.087266,-0.2618,-0.81129,0.67941,1.0861,1.1561,-0.7354
-1.601,2.2086,-0.087266,-0.30543,-0.73854,-0.5236,3.2558,-0.087266,-0.30543,-0.83225,0.70471,1.1325,1.2178,-0.75365
-1.5844,2.2148,-0.087266,-0.34907,-0.71773,-0.5236,3.262,-0.087266,-0.34907,-0.85307,0.68558,1.1127,1.2023,-0.74059
-1.566,2.2194,-0.087266,-0.3927,-0.69704,-0.5236,3.2666,-0.087266,-0.3927,-0.87375,0.6658,1.078,1.155,-0.73316
-1.5458,2.2223,-0.087266,-0.43633,-0.67646,-0.5236,3.2695,-0.087266,-0.43633,-0.89434,0.66488,1.0867,1.1753,-0.71759
-1.524,2.2236,-0.087266,-0.47997,-0.65595,-0.5236,3.2708,-0.087266,-0.47997,-0.91485,0.63269,1.0366,1.1116,-0.68976
-1.5004,2.2232,-0.087266,-0.5236,-0.63548,-0.5236,3.2704,-0.087266,-0.5236,-0.93531,0.63972,1.0571,1.146,-0.70808
1.8895,-2.1222,-0.043633,0.2618,-0.50909,-0.5236,-1.075,-0.043633,0.2618,-1.0617,2.1903,2.1099,1.6482,-0.73808
1.8995,-2.11,-0.043633,0.21817,-0.48765,-0.5236,-1.0628,-0.043633,0.21817,-1.0831,-0.5182,0.03576,0.23494,-0.30792
1.9075,-2.096,-0.043633,0.17453,-0.46599,-0.5236,-1.0488,-0.043633,0.17453,-1.1048,-0.57,0.048145,0.30696,-0.39665
1.9135,-2.0803,-0.043633,0.1309,-0.4441,-0.5236,-1.0331,-0.043633,0.1309,-1.1267,-0.71103,0.10518,0.55984,-0.33178
1.9175,-2.0628,-0.043633,0.087266,-0.42198,-0.5236,-1.0156,-0.043633,0.087266,-1.1488,-0.72483,0.11547,0.58898,-0.1529
-1.6661,2.0658,-0.043633,0.043633,-0.92329,-0.5236,3.113,-0.043633,0.043633,-0.64751,-0.97426,-0.29117,0.11447,0.8178
-1.6661,2.0868,-0.043633,0,-0.90067,-0.5236,3.134,-0.043633,0,-0.67012,0.67844,1.1379,1.2553,-0.67054
-1.6641,2.1061,-0.043633,-0.043633,-0.87831,-0.5236,3.1533,-0.043633,-0.043633,-0.69249,0.75029,1.1729,1.2474,-0.79249
